Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,4,blocks.4.hook_resid_post,28,28,24,sae,64,12.021518111228943,0.3200599260723681,1.4235692396759987,0.02652279702081621,0.9398455545306206,0.0027830322083309753,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,28,28,24,sae_over_random_ratio,64,1.164758706042304,,1.1383991219272867,,1.1833390496407488,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,30,30,26,random_matched_norm,64,10.321858406066895,0.5317617319831067,1.2925422936677933,0.025087044628724325,0.8133458644151688,0.015342690665316563,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,30,30,26,sae,64,13.149106860160828,0.32770497829828144,1.448307879269123,0.02086228230834738,0.9756355918943882,0.0039980952005828595,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,30,30,26,sae_over_random_ratio,64,1.2739088585474256,,1.1205110164397951,,1.1995334759535696,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,final,9999,full,random_matched_norm,64,7.056622356176376,0.4961121205255139,,0.0,,0.0,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,final,9999,full,sae,64,12.088953912258148,0.3706031561333615,,0.0,,0.0,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,final,9999,full,sae_over_random_ratio,64,1.7131360163658433,,,,,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,8,blocks.8.hook_resid_post,8,8,0,random_matched_norm,64,1.0462934747338295,0.024218099382251182,0.585555624216795,0.007655368795303572,0.13779799360781908,0.002841260524164636,14.186760127544403,0.5855547860264778,16,8192
Llama-3.1-8B,8,blocks.8.hook_resid_post,8,8,0,sae,64,1.4768646359443665,0.04416584727606395,0.5855334177613258,0.00765539904108371,0.19785947632044554,0.00593851001952829,14.186760127544403,0.5855547860264778,16,8192
Llama-3.1-8B,8,blocks.8.hook_resid_post,8,8,0,sae_over_random_ratio,64,1.411520449671228,,0.9999620762664541,,1.4358661627800247,,14.186760127544403,0.5855547860264778,16,8192
Llama-3.1-8B,8,blocks.8.hook_resid_post,12,12,4,random_matched_norm,64,2.384753242135048,0.08448988268189855,0.7877341732382774,0.011355538299226732,0.31774623692035675,0.008975483024436412,14.186760127544403,0.5855547860264778,16,8192
Llama-3.1-8B,8,blocks.8.hook_resid_post,12,12,4,sae,64,4.655206561088562,0.07722124463041208,1.3397193923592567,0.02116223704785646,0.6350100114941597,0.007754960954012402,14.186760127544403,0.5855547860264778,16,8192
