Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
GPT-2 Small,56365.0,15.623805610453896,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,57259.0,15.562181404223278,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,58166.0,15.501118655582843,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,59087.0,15.440557722300309,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,60024.0,15.380380697918246,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,60975.0,15.320728460240282,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,61941.0,15.261547311578246,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,62922.0,15.202847427822023,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,63919.0,15.144580171378859,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
GPT-2 Small,64932.0,15.086757698776156,15.617036934287741,24566,7.45663595199585,#1f77b4,56462.16770338999
Gemma-2B,1008.0,116.72080442895874,18.0,58184,6.424510955810547,#d62728,
Gemma-2B,2000.0,84.89386414500912,18.0,58184,6.39299201965332,#d62728,
Gemma-2B,3008.0,70.59772716019295,18.0,58184,6.356849193572998,#d62728,
Gemma-2B,4000.0,62.243737727540804,18.0,58184,6.361561298370361,#d62728,
Gemma-2B,5008.0,56.46983338899389,18.0,58184,6.368163108825684,#d62728,
Gemma-2B,6000.0,52.240836721645536,18.0,58184,6.357970237731934,#d62728,
Gemma-2B,7008.0,48.90108272156025,18.0,58184,6.34761381149292,#d62728,
Gemma-2B,8000.0,46.25819692270378,18.0,58184,6.351088047027588,#d62728,
Gemma-2B,9008.0,44.00943921244731,18.0,58184,6.3575825691223145,#d62728,
Gemma-2B,10000.0,42.17740238536942,18.0,58184,6.362399101257324,#d62728,
Gemma-2B,10217.0,41.808386660539234,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,10437.0,41.446080138099084,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,10663.0,41.08563030373488,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,10893.0,40.73037922148508,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,11129.0,40.37736925047742,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,11369.0,40.02970887415518,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,11615.0,39.68459953160272,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,11866.0,39.3435960694001,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,12123.0,39.00547285079795,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,12385.0,38.67166277702997,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,12652.0,38.342206618246784,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,12926.0,38.014782421554536,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,13205.0,37.69191068059402,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,13490.0,37.372492343356214,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,13782.0,37.055559373508764,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,14080.0,36.74233336426227,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,14384.0,36.43288400836623,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,14695.0,36.1262988199946,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,15012.0,35.82365562739292,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,15337.0,35.52316782733925,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,15668.0,35.226793719287826,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,16007.0,34.932836055074866,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,16353.0,34.64228443931788,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,16706.0,34.35520636854183,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,17067.0,34.07088291293325,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,17436.0,33.78943303866425,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,17813.0,33.5109612959169,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,18198.0,33.235558771612524,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,18591.0,32.963304009257584,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,18993.0,32.693603639622324,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,19404.0,32.42657618562532,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,19823.0,32.162945303595336,18.0,58184,6.362399101257324,#d62728,110751.14455112764
