Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
Llama-3.1-8B,46047.0,28.735238066080896,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,47320.0,28.443247601839904,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,48628.0,28.155253090177418,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,49972.0,27.871190369711115,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,51354.0,27.590803867798865,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,52773.0,27.314448641010305,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,54232.0,27.0416893452417,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,55731.0,26.77268325246996,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,57272.0,26.507223876770105,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,58855.0,26.245458949840348,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,60482.0,25.987200080361415,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,62154.0,25.732435131875153,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,63872.0,25.481152028906244,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,65638.0,25.233200878166336,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,67452.0,24.98871741787968,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,69317.0,24.747433868040236,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,71233.0,24.50948722325843,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,73202.0,24.274757868479853,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,75226.0,24.04314262395916,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,77306.0,23.814660474743086,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,79443.0,23.589325960366125,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,81639.0,23.36705016329052,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,83896.0,23.1477559444341,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,86215.0,22.931467902683394,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,88598.0,22.71811733357276,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
Llama-3.1-8B,91047.0,22.507644309276742,16.968666793195208,130700,6.207154750823975,#26ba15,223147.54519202415
