Model,alias_factor,alias_mode,N,Total Bound,Random Baseline,B,P,m_alias,R_hat_hG,eps_loss_hat,eta_hat,KL_M_Som_bits,t_proxy_risk,t_reconstruction_gap,t_mismatch,t_sparse_complexity,t_concentration,asymptotic_floor,top_k,alpha,delta,calibration_tokens,extrapolated,Crossing N
GPT-2 Small,32,token_hash,17418.0,87.52017028283731,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,78.9512127980863,0.18637040573879302,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,18669.0,84.82271380810164,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,76.26010888097632,0.18001784811311458,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,20009.0,82.21876950395786,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,73.66229691164537,0.17388551330027893,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,21446.0,79.70216682672864,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,71.15162087815546,0.16795886956097564,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,22987.0,77.27014327797495,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,68.72532478780013,0.16223141116260473,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,24638.0,74.92203616521144,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,66.38274750874656,0.15670157745266233,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,26407.0,72.65467278646207,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,64.12072381078788,0.15136189666197608,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,28303.0,70.4645858055953,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,61.93579452343035,0.14620420315273508,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,30336.0,68.34826784561388,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,59.82446052961148,0.1412202369901828,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,32515.0,66.30411998974398,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,57.78512667803468,0.13640623269708552,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,34850.0,64.33006776468332,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,55.815723380818916,0.1317573048521884,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,37353.0,62.42306514473376,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,53.91321178571036,0.12726628001119022,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,40036.0,60.5809143474713,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,52.07539928610141,0.1229279823576772,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,42911.0,58.80197957041744,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,50.3006539318573,0.11873855954792993,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,45993.0,57.0833827851333,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,48.58610447234693,0.11469123377415891,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,49296.0,55.42353729051643,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,46.93016794317697,0.11078226832725226,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,52837.0,53.819922034783744,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,45.33032922968579,0.10700572608574778,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,56631.0,52.271498684609234,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,43.78555244384069,0.10335916175632943,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,60699.0,50.775294923856336,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,42.29287226936211,0.09983557548201485,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,65058.0,49.330481247873045,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,40.85146115509613,0.09643301376470245,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,69731.0,47.9346353907375,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,39.45890253959991,0.09314577212537738,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,74739.0,46.58653856339269,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,38.11398050408619,0.0899709802942909,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,80106.0,45.28454447384401,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,36.81505263360707,0.08690476122472786,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,85860.0,44.02659111531485,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,35.56006177744832,0.0839422588543216,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,92026.0,42.811765042565874,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,34.348096641550256,0.08108132200340512,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,98636.0,41.63814208913825,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,33.17723759090004,0.07831741922599385,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,105720.0,40.50464412385625,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,32.046409033339906,0.07564801150413293,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,113312.0,39.40988628214624,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,30.954229365676728,0.07306983745729953,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,121451.0,38.352216904797764,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,29.899050818386662,0.07057900739889052,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,130173.0,37.33078073845784,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,28.88002015225347,0.06817350719215881,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,139522.0,36.34409443100236,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,27.895657508473487,0.06584984351666132,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,149543.0,35.39098862419846,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,26.944796282673128,0.06360526251311283,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,160283.0,34.470431451047666,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,26.02640703791894,0.06143733411651281,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,171795.0,33.58120180030457,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,25.13927153870404,0.05934318258831772,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,184133.0,32.72233699987066,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,24.282429380039716,0.057320540818738185,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,197358.0,31.8926915255696,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,23.454737735479274,0.05536671107811287,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,211532.0,31.091371550425347,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,22.655304883025003,0.053479588388131424,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,226724.0,30.317361816990427,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,21.883117956178634,0.05165678179957907,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,243008.0,29.5696931422722,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,21.13721005439059,0.04989600886939579,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,260461.0,28.847531731432724,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,20.416749346424492,0.04819530599601632,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,279167.0,28.150002373379294,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,19.72086268232522,0.046552612041864165,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,299217.0,27.476229900024567,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,19.048676955041714,0.0449658659706412,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,320707.0,26.8254231736724,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,18.399402890021086,0.04343320463910427,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,343741.0,26.196784387405994,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,17.772244559195904,0.04195274919787782,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,368428.0,25.589605037949347,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,17.166495127827897,0.04052283110923721,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,394889.0,25.00309945799253,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,16.581370778867523,0.039141600112795376,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,423250.0,24.436593888670878,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,16.016199340164135,0.0378074694945298,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,453648.0,23.889395662492543,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,15.47028977547006,0.0365188080102671,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,486230.0,23.360836241165373,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,14.942975120912632,0.03527404124052519,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,521151.0,22.85030852624758,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,14.433649707777613,0.03407173945775444,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,558580.0,22.35718224043737,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,13.941684743077381,0.03291041834778062,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,598698.0,21.88085433381801,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,13.466478597088395,0.03178865771740203,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,641697.0,21.420765558117154,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,13.00747333857788,0.03070514052706296,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,687784.0,20.976360977758745,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,12.56411533885285,0.02965855989368356,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,737181.0,20.54710379771952,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,12.1358690670518,0.0286476516555061,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,790126.0,20.13247569648133,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,11.722217422312916,0.027671195156203615,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,846873.0,19.73198394740908,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,11.322668838381018,0.02672803001585059,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,907697.0,19.345134277658886,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,10.936730206433502,0.025816992213172577,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,972888.0,18.971478691793692,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,10.563954586070475,0.02493702671100525,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1042761.0,18.610559217301592,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,10.203885083313383,0.02408705497599687,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1117653.0,18.26193845552467,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,9.856085329585873,0.023266046926585134,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1197924.0,17.925199680716457,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,9.520139580537963,0.022473021166279153,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1283960.0,17.599939210330323,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,9.195645104302557,0.021707027015554006,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
