Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,12,blocks.12.hook_resid_post,20,20,8,feature_shuffled_matched_norm,64,7.53097186769758,0.2104924704798976,1.2658734681114319,0.016336550654118192,0.830586296225351,0.008048855451447005,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,20,20,8,sae,64,5.431736908261738,0.1621910753170277,1.0920204340465485,0.016839413888343105,0.644695035994999,0.010334362197165324,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,20,20,8,sae_over_feature_shuffle_ratio,64,0.7212531136333092,,0.8626616020918296,,0.7761927194378887,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,21,21,9,feature_shuffled_matched_norm,64,8.318252964625282,0.24784983113809442,1.2912992579596383,0.02057712201344705,0.8426041924764239,0.008728440586312385,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,21,21,9,sae,64,6.225743937113928,0.19462193610753242,1.1267360865123688,0.019448853502845094,0.6822919542827304,0.009994455338286795,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,21,21,9,sae_over_feature_shuffle_ratio,64,0.7484436892686376,,0.8725600046364983,,0.8097419409669279,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,22,22,10,feature_shuffled_matched_norm,64,9.21638744596451,0.3088699046037151,1.3087280137198312,0.0223815472309668,0.8632782025942727,0.008588721777473367,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,22,22,10,sae,64,7.073229486980136,0.22322962411493447,1.152824946812221,0.021592195492804844,0.7087405834879194,0.009851765835986046,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,22,22,10,sae_over_feature_shuffle_ratio,64,0.7674622544299851,,0.8808743564184257,,0.8209874654057684,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,24,24,12,feature_shuffled_matched_norm,64,11.031603374178447,0.392839204774097,1.401214701788766,0.02776607462096247,0.9008865100996835,0.008450615914322031,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,24,24,12,sae,64,8.101477388351682,0.2604670653457918,1.1956882893093048,0.026632023852512093,0.7267037724691724,0.010332748189062534,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,24,24,12,sae_over_feature_shuffle_ratio,64,0.7343880226254981,,0.8533226833710139,,0.806654072763019,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,25,25,13,feature_shuffled_matched_norm,64,11.35640041411869,0.38479913048962094,1.4301219497408186,0.02960316491760592,0.9100627019291833,0.007908046599867897,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,25,25,13,sae,64,8.404201280503045,0.23325119504132408,1.2326582594523354,0.02752037782366611,0.757225199351235,0.00944682831460378,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,25,25,13,sae_over_feature_shuffle_ratio,64,0.7400409437883713,,0.8619252782433906,,0.832058272189424,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,26,26,14,feature_shuffled_matched_norm,64,11.395424888247536,0.3582532478727865,1.459372567752051,0.03161627862735158,0.9268572898138137,0.007494714305265823,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,26,26,14,sae,64,8.474402579050215,0.2375827818258595,1.2437920248697674,0.027812531843908597,0.7801898575964428,0.008733305173455396,14.926148187546502,0.5769576657386053,63,32256
