perturbation,random_repeat,target_layer,target_sort,horizon,kl_bits,norm_l2,cosine_distance,mean_delta_norm,relative_delta_norm,Model,patch_layer,patch_hook,batch_index,tokens_in_batch,total_cached_tokens,top_k
feature_shuffled_matched_norm,-1,25,25,21,11.828743934631348,1.5008636713027954,1.011810302734375,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,32256,64
feature_shuffled_matched_norm,-1,26,26,22,12.117707252502441,1.5251851081848145,1.02610445022583,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,32256,64
feature_shuffled_matched_norm,-1,28,28,24,12.377579689025879,1.5216089487075806,1.0174622535705566,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,32256,64
feature_shuffled_matched_norm,-1,29,29,25,13.659119606018066,1.6190253496170044,1.0791794061660767,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,32256,64
feature_shuffled_matched_norm,-1,30,30,26,14.21501636505127,1.617653250694275,1.0418980121612549,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,32256,64
feature_shuffled_matched_norm,-1,final,9999,full,13.036510467529297,,,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,32256,64
sae,-1,4,4,0,1.2292509078979492,0.5349127650260925,0.1687314808368683,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,5,5,1,5.0263166427612305,2.440959930419922,0.6871579885482788,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,6,6,2,5.505177974700928,2.3168015480041504,0.7054952383041382,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,8,8,4,5.702508926391602,2.0254368782043457,0.7459256649017334,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,9,9,5,5.866339206695557,1.8920602798461914,0.7647066116333008,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,10,10,6,5.974111080169678,1.8086442947387695,0.7749817371368408,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,12,12,8,5.610372066497803,1.5467822551727295,0.7563228607177734,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,13,13,9,5.714786052703857,1.5195858478546143,0.7738957405090332,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,14,14,10,5.713516712188721,1.3929550647735596,0.7724603414535522,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
